FishEc,"Site",Year,SLF,Coupler,Fixed,Input,Output,Diagonal,Gape,Buccal_length,Neuro_Outlever,Jaw_Outlever,Jaw_Inlever,Jaw_prot,Spine_length_dorsal_1,Spine_length_dorsal_2,Spine_width_dorsal_2,Spine_length_pelvic,Pelvic_length,Pelvic_height,Epax_height_closed,Epax_height_open,EpaxWidth,Head_length,Plate_count,Raker_1_length,Raker_2_length,Spacing_1,Spacing_2,Raker_count
185149,"L26",2019,51,8.44081010476486,8.89815249698474,5.18796631405776,1.09127270128642,7.95449232585481,4.6283539879377,13.8741878997454,15.2778166753154,3.90030449511624,0.95455841446892,1.80890367617251,3.9707045892476,2.83358716188983,0.633720099693596,7.00518598430966,1.65667936693856,4.76060191518468,2.30890483477054,2.4076996017259,5.29471104940024,11.3344637910848,27,0.946792659851942,0.908095290199924,0.170549134018603,0.168158971816512,12
185150,"L26",2019,41,6.22786189951009,6.96666593341536,3.89062800860862,0.827492510166518,6.14311399069893,3.57911940325529,11.5907978201551,12.5603590565098,2.76766575450406,0.796996614125417,1.37321507682277,3.24747112085745,3.66355771003604,0.545886543703323,5.49699247339672,1.54849063005738,3.87673653121832,1.31571045974648,1.68543260173232,4.41057600652413,8.98690692914556,29,0.854489247016771,0.86954065394756,0.0954330985555526,0.110494956020384,12
185151,"L26",2019,40,5.91806189207698,6.33465005587965,3.49317754488733,0.680120086975694,5.7412951070707,3.38533589996087,10.3935055577122,11.4944486344015,2.47259325312186,0.698630136986301,1.06972180851258,3.20515745953324,3.83867295046632,0.440278319999677,5.48152358102883,1.7684501761488,4.36477137129346,1.3972602739726,1.87691229811546,4.13290191191958,8.16205032395116,33,0.549576167071815,0.540281432818509,0.0913186041770131,0.0682999643230595,12
185152,"L26",2019,56,8.44059224776796,9.34289455684662,5.85659106006756,1.04720433428206,8.13973030838294,4.49953605748362,14.8069519055272,16.4516955009642,4.19081822594226,1.12737312512657,1.83674060853764,5.95110495755203,6.30199520422999,0.664489470445748,8.53864307696466,2.30283710566387,6.08333322622576,2.08096272172984,2.17877132201496,5.96756695095551,11.6400219436889,28,1.00688640914945,1.01714465588765,0.14629985185227,0.197954011406379,13
185153,"L26",2019,52,9.00970525248191,9.55262920746427,5.40619530302538,1.17969840025589,8.3879892668266,4.85279536149297,15.1117968483341,16.23088893644,4.4695575200696,1.04693624424884,1.84592369832372,3.91622558842729,4.44731117138296,0.619836430052487,5.71094062084594,1.8158734343141,4.79928307777702,1.91846281356246,2.61801083570515,5.90523779069131,11.827321420962,30,1.13764380818381,1.11829798779229,0.159482695315385,0.165063943799998,12
185155,"L26",2019,51,8.75411063404255,8.981162914452,4.78790149758847,1.01711752223817,8.35425533998136,4.18187566389838,14.1868942240286,15.3502915462077,3.57657565464487,1.0604721771486,1.70414482631057,3.17631032326135,4.27511400284092,0.52859675018013,6.5237847382436,3.19204537677192,4.750186414254,1.2883268514577,1.30201858380323,5.14085698921874,12.0890313943071,29,0.989477935162548,1.07464545234931,0.105319303132165,0.108341509372268,13
185158,"L26",2019,45,7.17348208595957,7.97148011355545,4.56982062747482,0.904219035275554,7.03110444237327,3.78994695866757,12.5897884203944,13.4805864600391,3.02607095133731,0.840840457489976,1.41439748569771,4.29812060302712,4.75283184318421,0.537534410516785,6.62197142527093,2.05421675108217,5.95119265003495,1.55950752393981,2.1891672028524,4.75025212672249,10.0545334395608,31,0.768633104344986,0.749037366896753,0.121250856510016,0.108834167403369,12
185159,"L26",2019,50,8.47381715217944,9.39708913735527,5.64548714064246,1.07758990934654,8.29466263617423,4.44699556599974,14.4237953261664,16.1742362446135,3.75781389635673,1.18202487426692,1.88047499616302,4.14987997595554,4.77436019989025,0.46148092458093,6.72296687165498,2.21631115196483,5.15739131330319,1.27487479346176,1.76661367305315,4.80919660839183,11.9589787934951,25,1.05267318620691,1.18810210090607,0.101744484452069,0.128629923020205,13
185160,"L26",2019,37,6.07220741062052,6.68301508139046,3.89456657879255,0.790361522607622,5.68310139642689,3.20462933422198,10.9139209428349,11.8542862551806,2.72672855098316,0.679189690139886,1.09575838000004,3.66508752218492,4.25706237369848,0.550604973939757,5.98472932944719,1.61196484110024,4.59269601669246,1.28277698561596,1.69636158950076,4.28407784019599,8.69620431933651,23,0.763048004212638,0.809310914473462,0.127852910729506,0.172264582852049,12
185161,"L26",2019,49,7.83236755151151,8.24916684023229,4.52812643284437,0.891819754473687,7.60184760960836,4.23347858024565,13.5048306420005,14.7552443592334,3.33287169083206,0.925796132185424,1.73394973770882,4.29681420983276,4.66402021063968,0.607485726707921,7.15044882963526,1.87414500683995,5.14860269259034,1.61428505078057,1.983772810499,5.04768033356504,10.865293685312,30,0.800165811415315,0.83774131387861,0.11953125,0.110380423493593,12
185162,"L26",2019,41,6.34252492649695,6.79530762122691,3.64386136565215,0.724474949160403,6.19338686893027,3.33597505877879,11.0190983832598,11.8193460591006,2.48704656933046,0.733356647360229,1.20936484681333,3.84543752441452,4.22097897875902,0.4190974942679,6.24807720469779,1.4120224745266,4.75786378326149,1.56170391617184,2.01667844014456,4.34281144641902,8.80826178647101,32,0.733901922293363,0.780490789555138,0.0842755849603944,0.0924932543080772,12
185163,"L26",2019,40,6.01520203697229,6.53510866062252,3.9409720504001,0.643100370645317,5.76201147640779,3.30708348114795,10.8681543388002,11.9358044673005,2.54287787499517,0.699148144414809,1.25236390863593,3.71088307181295,4.19685130423974,0.497955532782525,6.38852353847585,1.47742818057456,4.68166149371436,1.39561704458078,1.62790697674419,4.26819507637398,8.55353040223175,31,0.829235221368064,0.931186900665146,0.0885747634375385,0.0906621381592622,12
185165,"L26",2019,38,6.27979991522696,6.60725968727708,3.69663448934577,0.679189690139886,6.10504870969091,3.26099335910419,10.9584417710693,11.8252745278111,2.58643051685911,0.657819572796875,1.02364612012435,3.727840010355,4.18974343897614,0.502386871805267,5.6245180773936,1.30201858380323,3.93267607070874,1.53513730223214,2.01388499743309,4.16442922308018,8.51764594865271,32,0.850985390805827,0.89397107345976,0.0956552132638403,0.0915490435404202,14
